Member State,Member State Code,Category,Year,Month,Thousand tonnes
Austria,AT,Total raw cow's milk delivered to dairies,2011,July,246.21
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,August,2.57
Austria,AT,Total raw cow's milk delivered to dairies,2011,August,235.25
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,September,2.28
Austria,AT,Total raw cow's milk delivered to dairies,2011,September,227.47
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,October,2.93
Austria,AT,Total raw cow's milk delivered to dairies,2011,October,235.25
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,November,3.28
Austria,AT,Total raw cow's milk delivered to dairies,2011,November,224.65
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2011,December,3.28
Austria,AT,Total raw cow's milk delivered to dairies,2011,December,242.90
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,January,3.14
Austria,AT,Total raw cow's milk delivered to dairies,2010,January,231.64
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,February,2.79
Austria,AT,Total raw cow's milk delivered to dairies,2010,February,215.84
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,March,2.90
Austria,AT,Total raw cow's milk delivered to dairies,2010,March,246.70
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,April,3.00
Austria,AT,Total raw cow's milk delivered to dairies,2010,April,246.89
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,May,2.90
Austria,AT,Total raw cow's milk delivered to dairies,2010,May,261.70
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,June,2.78
Austria,AT,Total raw cow's milk delivered to dairies,2010,June,236.95
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,July,2.50
Austria,AT,Total raw cow's milk delivered to dairies,2010,July,233.55
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,August,2.32
Austria,AT,Total raw cow's milk delivered to dairies,2010,August,226.14
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,September,2.44
Austria,AT,Total raw cow's milk delivered to dairies,2010,September,216.57
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,October,2.78
Austria,AT,Total raw cow's milk delivered to dairies,2010,October,223.10
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,November,2.58
Austria,AT,Total raw cow's milk delivered to dairies,2010,November,213.64
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2010,December,3.06
Austria,AT,Total raw cow's milk delivered to dairies,2010,December,228.28
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2009,January,3.35
Austria,AT,Total raw cow's milk delivered to dairies,2009,January,229.87
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2009,February,2.81
Austria,AT,Total raw cow's milk delivered to dairies,2009,February,215.44
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2009,March,2.96
