STATISTIC,STATISTIC Label,TLIST(A1),Year,C02068V02499,Type of Feedstuff,UNIT,VALUE
AJA08,Feed Stuff Price,2020,2020,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2020,2020,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,281.4963235
AJA08,Feed Stuff Price,2020,2020,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,291.4634503
AJA08,Feed Stuff Price,2020,2020,18,Dairy meal (16-18% protein),Euro per Tonne,272.0833333
AJA08,Feed Stuff Price,2020,2020,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2020,2020,20,Dairy meal (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2020,2020,21,Chick mash (18-20% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2020,2020,22,Layers' mash (14-16% protein),Euro per Tonne,363.5833333
AJA08,Feed Stuff Price,2020,2020,23,Broiler starter (22-24% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2020,2020,24,Broiler finisher (19-21% protein),Euro per Tonne,398.0625
AJA08,Feed Stuff Price,2020,2020,25,Milk replacer,Euro per Tonne,2160.941477
AJA08,Feed Stuff Price,2020,2020,26,Wheat,Euro per Tonne,232.2485119
AJA08,Feed Stuff Price,2020,2020,27,Ewe feed coarse (16-20% protein),Euro per Tonne,290.8445513
AJA08,Feed Stuff Price,2020,2020,28,Ewe pellets/nuts (16-20%),Euro per Tonne,298.0486111
AJA08,Feed Stuff Price,2020,2020,29,Lamb feed (16-20% protein),Euro per Tonne,291.3257576
AJA08,Feed Stuff Price,2020,2020,30,Cattle fattening meal (13-15% protein),Euro per Tonne,275.2793301
AJA08,Feed Stuff Price,2021,2021,1,Rolled barley,Euro per Tonne,258.0833333
AJA08,Feed Stuff Price,2021,2021,4,Soya bean meal,Euro per Tonne,474.9621212
AJA08,Feed Stuff Price,2021,2021,5,Barley meal,Euro per Tonne,
AJA08,Feed Stuff Price,2021,2021,6,Maize meal,Euro per Tonne,286.6602564
AJA08,Feed Stuff Price,2021,2021,7,Flaked maize,Euro per Tonne,382.6458333
AJA08,Feed Stuff Price,2021,2021,9,Pig grower (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2021,2021,10,Pig fattening meal (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2021,2021,11,Sow breeder (14-16% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2021,2021,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJA08,Feed Stuff Price,2021,2021,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,351.6111111
AJA08,Feed Stuff Price,2021,2021,14,Calf meal (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2021,2021,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2021,2021,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,315.7760417
