Member State,Member State Code,Category,Year,Month,Thousand tonnes
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,February,10.6
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,March,22.21
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,April,28.41
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,May,31.04
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,June,28.1
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,July,28.24
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,August,25.46
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,September,22.32
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,October,20.23
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,November,15.04
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,December,11.24
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,January,8.85
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,February,9.45
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,March,20.18
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,April,23.73
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,May,27.5
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,June,25.58
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,July,23.43
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,August,24.56
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,September,22.48
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,October,20.28
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,November,17.88
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,December,13.92
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,January,5.19
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,February,8.54
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,March,20.3
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,April,24.23
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,May,28.25
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,June,27.03
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,July,23.94
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,August,23.31
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,September,18.23
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,October,17.32
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,November,15.92
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,December,11.41
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,January,5.04
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,February,9.27
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,March,20.08
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,April,21.7
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,May,24.42
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,June,23.19
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,July,20.25
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,August,20.26
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,September,18.46
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,October,15.2
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,November,12.49
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,December,8.34
Ireland,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,January,3.5
