STATISTIC Label,Month,Product,UNIT,VALUE
Production of Dairy Products,1989 October,Cheese,000 Tonnes,5.8
Production of Dairy Products,1989 October,Butter,000 Tonnes,10.1
Production of Dairy Products,1989 October,Skimmed Milk Powder,000 Tonnes,6.2
Production of Dairy Products,1989 November,Cheese,000 Tonnes,0.6
Production of Dairy Products,1989 November,Butter,000 Tonnes,6.5
Production of Dairy Products,1989 November,Skimmed Milk Powder,000 Tonnes,4.4
Production of Dairy Products,1989 December,Cheese,000 Tonnes,0.1
Production of Dairy Products,1989 December,Butter,000 Tonnes,2.8
Production of Dairy Products,1989 December,Skimmed Milk Powder,000 Tonnes,4.2
Production of Dairy Products,1990 January,Cheese,000 Tonnes,0.2
Production of Dairy Products,1990 January,Butter,000 Tonnes,3.4
Production of Dairy Products,1990 January,Skimmed Milk Powder,000 Tonnes,4.3
Production of Dairy Products,1990 February,Cheese,000 Tonnes,0.8
Production of Dairy Products,1990 February,Butter,000 Tonnes,6
Production of Dairy Products,1990 February,Skimmed Milk Powder,000 Tonnes,8.7
Production of Dairy Products,1990 March,Cheese,000 Tonnes,4.1
Production of Dairy Products,1990 March,Butter,000 Tonnes,11.1
Production of Dairy Products,1990 March,Skimmed Milk Powder,000 Tonnes,13
Production of Dairy Products,1990 April,Cheese,000 Tonnes,9.2
Production of Dairy Products,1990 April,Butter,000 Tonnes,15.6
Production of Dairy Products,1990 April,Skimmed Milk Powder,000 Tonnes,19.4
Production of Dairy Products,1990 May,Cheese,000 Tonnes,13.6
Production of Dairy Products,1990 May,Butter,000 Tonnes,20.9
Production of Dairy Products,1990 May,Skimmed Milk Powder,000 Tonnes,29.1
Production of Dairy Products,1990 June,Cheese,000 Tonnes,12.6
Production of Dairy Products,1990 June,Butter,000 Tonnes,19.2
Production of Dairy Products,1990 June,Skimmed Milk Powder,000 Tonnes,28.9
Production of Dairy Products,1990 July,Cheese,000 Tonnes,10.8
Production of Dairy Products,1990 July,Butter,000 Tonnes,19.8
Production of Dairy Products,1990 July,Skimmed Milk Powder,000 Tonnes,29.2
Production of Dairy Products,1990 August,Cheese,000 Tonnes,7.7
Production of Dairy Products,1990 August,Butter,000 Tonnes,19.1
Production of Dairy Products,1990 August,Skimmed Milk Powder,000 Tonnes,25.9
Production of Dairy Products,1990 September,Cheese,000 Tonnes,5.4
Production of Dairy Products,1990 September,Butter,000 Tonnes,13.9
Production of Dairy Products,1990 September,Skimmed Milk Powder,000 Tonnes,16.2
Production of Dairy Products,1990 October,Cheese,000 Tonnes,3.4
Production of Dairy Products,1990 October,Butter,000 Tonnes,11.1
Production of Dairy Products,1990 October,Skimmed Milk Powder,000 Tonnes,9.9
Production of Dairy Products,1990 November,Cheese,000 Tonnes,0.5
Production of Dairy Products,1990 November,Butter,000 Tonnes,5.7
Production of Dairy Products,1990 November,Skimmed Milk Powder,000 Tonnes,6.2
Production of Dairy Products,1990 December,Cheese,000 Tonnes,0.2
Production of Dairy Products,1990 December,Butter,000 Tonnes,2.7
Production of Dairy Products,1990 December,Skimmed Milk Powder,000 Tonnes,4.3
Production of Dairy Products,1991 January,Cheese,000 Tonnes,0.4
Production of Dairy Products,1991 January,Butter,000 Tonnes,3.3
Production of Dairy Products,1991 January,Skimmed Milk Powder,000 Tonnes,4.6
Production of Dairy Products,1991 February,Cheese,000 Tonnes,0.7
Production of Dairy Products,1991 February,Butter,000 Tonnes,5.9
Production of Dairy Products,1991 February,Skimmed Milk Powder,000 Tonnes,11.2
Production of Dairy Products,1991 March,Cheese,000 Tonnes,3.2
Production of Dairy Products,1991 March,Butter,000 Tonnes,11.3
Production of Dairy Products,1991 March,Skimmed Milk Powder,000 Tonnes,18.9
