STATISTIC,Statistic Label,TLIST(A1),Year,C02064V02491,Product Type,UNIT,VALUE
ABA02C03,Supplies = Uses of Milk Products,2002,2002,11,Drinking Milk & Buttermilk,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2003,2003,3,Cheese,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2003,2003,4,Butter,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2003,2003,5,Cream,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2003,2003,6,Milk Powder,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2003,2003,11,Drinking Milk & Buttermilk,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2004,2004,3,Cheese,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2004,2004,4,Butter,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2004,2004,5,Cream,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2004,2004,6,Milk Powder,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2004,2004,11,Drinking Milk & Buttermilk,Tonnes,
ABA02C03,Supplies = Uses of Milk Products,2005,2005,3,Cheese,Tonnes,148
ABA02C03,Supplies = Uses of Milk Products,2005,2005,4,Butter,Tonnes,155
ABA02C03,Supplies = Uses of Milk Products,2005,2005,5,Cream,Tonnes,26
ABA02C03,Supplies = Uses of Milk Products,2005,2005,6,Milk Powder,Tonnes,129
ABA02C03,Supplies = Uses of Milk Products,2005,2005,11,Drinking Milk & Buttermilk,Tonnes,616
ABA02C03,Supplies = Uses of Milk Products,2006,2006,3,Cheese,Tonnes,161
ABA02C03,Supplies = Uses of Milk Products,2006,2006,4,Butter,Tonnes,152
ABA02C03,Supplies = Uses of Milk Products,2006,2006,5,Cream,Tonnes,33
ABA02C03,Supplies = Uses of Milk Products,2006,2006,6,Milk Powder,Tonnes,132
ABA02C03,Supplies = Uses of Milk Products,2006,2006,11,Drinking Milk & Buttermilk,Tonnes,626
ABA02C03,Supplies = Uses of Milk Products,2007,2007,3,Cheese,Tonnes,177
ABA02C03,Supplies = Uses of Milk Products,2007,2007,4,Butter,Tonnes,152
ABA02C03,Supplies = Uses of Milk Products,2007,2007,5,Cream,Tonnes,30
ABA02C03,Supplies = Uses of Milk Products,2007,2007,6,Milk Powder,Tonnes,132
ABA02C03,Supplies = Uses of Milk Products,2007,2007,11,Drinking Milk & Buttermilk,Tonnes,633
ABA02C03,Supplies = Uses of Milk Products,2008,2008,3,Cheese,Tonnes,209
ABA02C03,Supplies = Uses of Milk Products,2008,2008,4,Butter,Tonnes,135
ABA02C03,Supplies = Uses of Milk Products,2008,2008,5,Cream,Tonnes,28
ABA02C03,Supplies = Uses of Milk Products,2008,2008,6,Milk Powder,Tonnes,100
ABA02C03,Supplies = Uses of Milk Products,2008,2008,11,Drinking Milk & Buttermilk,Tonnes,633
ABA02C03,Supplies = Uses of Milk Products,2009,2009,3,Cheese,Tonnes,196
ABA02C03,Supplies = Uses of Milk Products,2009,2009,4,Butter,Tonnes,134
ABA02C03,Supplies = Uses of Milk Products,2009,2009,5,Cream,Tonnes,28
ABA02C03,Supplies = Uses of Milk Products,2009,2009,6,Milk Powder,Tonnes,107
ABA02C03,Supplies = Uses of Milk Products,2009,2009,11,Drinking Milk & Buttermilk,Tonnes,624
ABA02C03,Supplies = Uses of Milk Products,2010,2010,3,Cheese,Tonnes,215
ABA02C03,Supplies = Uses of Milk Products,2010,2010,4,Butter,Tonnes,146
ABA02C03,Supplies = Uses of Milk Products,2010,2010,5,Cream,Tonnes,27
ABA02C03,Supplies = Uses of Milk Products,2010,2010,6,Milk Powder,Tonnes,103
ABA02C03,Supplies = Uses of Milk Products,2010,2010,11,Drinking Milk & Buttermilk,Tonnes,627
ABA02C03,Supplies = Uses of Milk Products,2011,2011,3,Cheese,Tonnes,221
ABA02C03,Supplies = Uses of Milk Products,2011,2011,4,Butter,Tonnes,156
ABA02C03,Supplies = Uses of Milk Products,2011,2011,5,Cream,Tonnes,28
ABA02C03,Supplies = Uses of Milk Products,2011,2011,6,Milk Powder,Tonnes,114
ABA02C03,Supplies = Uses of Milk Products,2011,2011,11,Drinking Milk & Buttermilk,Tonnes,633
ABA02C04,Dairy Exports,1992,1992,3,Cheese,Tonnes,96
ABA02C04,Dairy Exports,1992,1992,4,Butter,Tonnes,161
ABA02C04,Dairy Exports,1992,1992,5,Cream,Tonnes,2
ABA02C04,Dairy Exports,1992,1992,6,Milk Powder,Tonnes,294
ABA02C04,Dairy Exports,1992,1992,11,Drinking Milk & Buttermilk,Tonnes,1
ABA02C04,Dairy Exports,1993,1993,3,Cheese,Tonnes,83
ABA02C04,Dairy Exports,1993,1993,4,Butter,Tonnes,114
ABA02C04,Dairy Exports,1993,1993,5,Cream,Tonnes,1
ABA02C04,Dairy Exports,1993,1993,6,Milk Powder,Tonnes,176
ABA02C04,Dairy Exports,1993,1993,11,Drinking Milk & Buttermilk,Tonnes,3
ABA02C04,Dairy Exports,1994,1994,3,Cheese,Tonnes,89
ABA02C04,Dairy Exports,1994,1994,4,Butter,Tonnes,114
ABA02C04,Dairy Exports,1994,1994,5,Cream,Tonnes,1
ABA02C04,Dairy Exports,1994,1994,6,Milk Powder,Tonnes,139
ABA02C04,Dairy Exports,1994,1994,11,Drinking Milk & Buttermilk,Tonnes,4
ABA02C04,Dairy Exports,1995,1995,3,Cheese,Tonnes,75
ABA02C04,Dairy Exports,1995,1995,4,Butter,Tonnes,143
ABA02C04,Dairy Exports,1995,1995,5,Cream,Tonnes,2
ABA02C04,Dairy Exports,1995,1995,6,Milk Powder,Tonnes,203
ABA02C04,Dairy Exports,1995,1995,11,Drinking Milk & Buttermilk,Tonnes,5
ABA02C04,Dairy Exports,1996,1996,3,Cheese,Tonnes,91
ABA02C04,Dairy Exports,1996,1996,4,Butter,Tonnes,120
ABA02C04,Dairy Exports,1996,1996,5,Cream,Tonnes,4
ABA02C04,Dairy Exports,1996,1996,6,Milk Powder,Tonnes,107
ABA02C04,Dairy Exports,1996,1996,11,Drinking Milk & Buttermilk,Tonnes,10
ABA02C04,Dairy Exports,1997,1997,3,Cheese,Tonnes,78
ABA02C04,Dairy Exports,1997,1997,4,Butter,Tonnes,140
